table,location_id,state,lat,lon,n_rows,reason,clue
meets_tf,109227,PA,34.59422,-120.14105,20,outside PA box,GA @ PC
meets_tf,110526,PA,40.76371,-73.986145,20,outside PA box,GA @ CHA
meets_tf_meta,94083,CA,43.440273,-80.42952,20,outside CA box,Unknown but mark is verfied
meets,,NV,39.19494,-120.12052,19,outside NV box,North Tahoe HS
meets_tf,103674,CA,51.26204,6.8259807,19,outside CA box,Thorpe Cup (Day 2)
meets_tf,137504,AZ,50.414036,14.975035,19,outside AZ box,Spring Break Hep/Dec
meets_tf,68004,IL,37.35679,-121.82033,18,outside IL box,SJO Lady Spartan Invite
meets_tf,101602,IN,47.235195,-61.86215,18,outside IN box,Chesterton vs. Fegely
meets_tf,111616,OR,44.02788,-71.76009,18,outside OR box,Lost River Invite
meets_tf,111991,OR,40.281925,-104.77775,18,outside OR box,Gilchrest Meet
meets_tf_meta,116505,TX,30.178366,-93.21563,18,outside TX box,McNeese State Indoor Recreation Complex
meets_tf,69097,PA,37.771313,75.23034,17,outside PA box,Big * Meet
meets_tf,94643,OR,43.614822,-116.20296,17,outside OR box,New Balance Boise Indoor Meet
meets_tf,108632,IL,31.80643,34.65593,17,outside IL box,West Meck Invt
meets_tf,134366,IL,43.804134,-120.5542,17,outside IL box,"Oregon Quad vs RF, Byron, GK (Boys)"
meets_tf,141702,PA,40.01756,0.0,17,outside PA box,Notre Dame #2
meets_tf,145705,MD,40.44224,-3.7100425,17,outside MD box,Meeting Madrid 2025
meets_tf_meta,70038,DE,38.172077,-75.3764,17,outside DE box,Worchester County Recreation Center
meets,10632,MI,33.574306,-88.6072,16,outside MI box,Waverly Golf Course (old course)
meets,11439,NE,32.243484,-110.94747,16,outside NE box,Districts
meets,13088,MO,42.11344,-71.2403,16,outside MO box,South Park
meets,15509,CO,42.194515,-91.778336,16,outside CO box,Center Community Park
meets_tf,56137,IA,31.76644,-106.49199,16,outside IA box,Viking Relays
meets_tf,81971,PA,40.993744,-73.668816,16,outside PA box,WPIAL Finals
meets_tf,84663,IN,41.55971,-74.19908,16,outside IN box,SIJHAC Girls Conference
meets_tf,86387,IN,41.87284,-87.812416,16,outside IN box,"Forest Park, Vincennes Lincoln"
meets_tf,101397,CA,47.11231,-88.54665,16,outside CA box,Keweenaw Classic
meets_tf,111139,IN,42.37065,-71.11863,16,outside IN box,#2 Lowell Girls IHSAA Sectional
meets_tf,122469,IN,20.593683,78.96288,16,outside IN box,Madison County Track & Field Meet
meets_tf,128086,IN,39.743942,-84.63662,16,outside IN box,Eaton Invitational
meets_tf,130352,IN,41.203323,-77.19453,16,outside IN box,#5 Penn Boys IHSAA Sectional
meets_tf,141851,IN,39.901375,0.0,16,outside IN box,IHSAA Boys Sectional 18
meets_tf_meta,142470,NH,43.139038,0.0,16,outside NH box,Paul Sweet Oval
meets_tfrrs,6289,MI,42.428345,-123.32927,16,outside MI box,Riverside Park
meets_tf,89692,IN,42.45572,-71.1342,15,outside IN box,Hagerstown v. Winchester Dual
meets_tf,93229,IN,43.16792,-89.4412,15,outside IN box,Henry County Meet
meets_tf_meta,91894,WY,42.904484,-85.71324,15,outside WY box,Unknown
meets,26104,IN,2.7763832,-77.6672,14,outside IN box,tbd
meets_tf,52025,ID,-6.184623,106.82165,14,outside ID box,WIC Jr-High Meet
meets_tf,80174,NE,40.6284,-87.69422,14,outside NE box,Milford Relays
meets_tf,103757,IN,54.75237,-1.6143028,14,outside IN box,Harrison/Lafayette Jeff
meets_tf,108420,IN,17.656927,73.3924,14,outside IN box,Glenn vs. Bremen/North Judson
meets_tf,110373,IN,40.33919,-83.48863,14,outside IN box,"Hobart, Wheeler"
meets_tf,122465,IN,20.593683,78.96288,14,outside IN box,Rushville/Hauser/Waldron
meets_tf,125498,IN,37.09024,-95.71289,14,outside IN box,WHS and New Castle @ Yorktown
meets_tf,141215,NY,40.775772,0.0,14,outside NY box,NYCAL #1
meets_tf,142083,NE,47.1122,6.8359146,14,outside NE box,Résisprint International
meets_tf,92185,OR,42.956734,-112.411224,13,outside OR box,Simplot Games
meets_tf,111269,IN,42.733135,-73.66764,13,outside IN box,Rensselaer JV Invitational
meets_tf,111792,OR,40.340923,-76.41135,13,outside OR box,MS Meet
meets_tf,125447,TX,37.09024,-95.71289,13,outside TX box,Golden Spur Relays
meets_tf,125463,OR,37.09024,-95.71289,13,outside OR box,Meet of Champions
meets_tf,137557,IN,55.95325,-3.188267,13,outside IN box,"Brownstown, Edinburg"
meets_tf_meta,140734,IA,41.160557,0.0,13,outside IA box,Eddyville Blakesburg Fremont Schools
meets_tfrrs,33446,FL,38.98562,-74.81969,13,outside FL box,Wildwood Middle/High School
meets,26202,NV,39.333317,-120.350784,12,outside NV box,Auburn Ski Club
meets,27898,MN,43.317146,-91.80755,12,outside MN box,Luther College
meets,36446,MI,41.37219,-84.16626,12,outside MI box,Leaders Farms
meets_tf,61112,OR,33.898556,-117.7891,12,outside OR box,Quest Pentathlon
meets_tf,70301,IN,38.292755,-78.67958,12,outside IN box,BRV MS at Shenandoah
meets_tf,74328,CA,39.319973,-76.66257,12,outside CA box,USATF National Junior Olympic Championships
meets_tf,80233,IN,40.639717,-78.94445,12,outside IN box,EH vs Northeastern/ Richmond
meets_tf,83700,IN,41.36446,-89.27791,12,outside IN box,"Vincennes, SK, Barr Reeve, @ Princeton"
meets_tf,102078,CA,47.520752,-122.30057,12,outside CA box,Pioneer League Finals
meets_tf,103746,CA,53.55326,-1.4838243,12,outside CA box,NorCal Throwers HS Pentathlon
meets_tf,122458,FL,18.363008,-66.558105,12,outside FL box,Carolina Spring Classic
meets_tf,122482,OR,25.064074,72.424706,12,outside OR box,LHS School Records
meets_tf,123849,IN,33.51623,-90.17953,12,outside IN box,@ Greenwood
meets_tf,127263,KS,39.091118,-94.415504,12,outside KS box,Independence Relays 
meets_tf,131719,NE,42.062466,-104.184395,12,outside NE box,jinx tucker invite
meets_tf,135046,WY,44.409706,-103.50908,12,outside WY box,Black Hills Classic
meets_tf,144305,CT,41.53619,2.124529,12,outside CT box,Meeting Internacional Catalunya de Pista Coberta
meets_tf,144443,MD,40.398773,-3.7399783,12,outside MD box,World Indoor Tour Gold Madrid 2026
meets_tf_meta,66376,ID,36.331547,-92.39697,12,outside ID box,Mountain Home HS
meets_tf_meta,54624,TX,30.178366,-93.21563,12,outside TX box,McNeese State Indoor Recreation Complex
meets_tf,57796,IN,32.760994,-105.20619,11,outside IN box,NM
meets_tf,59979,MA,33.570786,-112.1908,11,outside MA box,DR vs Somerset- Berkely
meets_tf,62706,OR,34.241722,-118.530205,11,outside OR box,Northridge Multi-Event
meets_tf,102264,IN,47.60236,-122.33287,11,outside IN box,Rochester MS @ Pioneer
meets_tf,108418,IN,13.93329,75.5734,11,outside IN box,Bluffton vs Adam Central vs Woodlan
meets_tf,111364,CA,42.966152,-78.73606,11,outside CA box,Dual
meets_tf,122586,IN,28.039465,-81.94981,11,outside IN box,Howe vs Lakeland
meets_tf,125425,WI,37.09024,-95.71289,11,outside WI box,North Manitowoc Central Triangular
meets_tf_meta,52059,OR,13.037208,80.23438,11,outside OR box,Madras HS
meets,3235,OR,41.187675,-85.08981,10,outside OR box,Steeple Chase
meets,21346,VA,41.902916,12.453389,10,outside VA box,-
meets,,KY,19.3133,-81.2546,10,outside KY box,OPEN
meets_tf,86274,NE,41.858006,-87.6242,10,outside NE box,JH South Loop Invite
meets_tf,122847,IN,30.267153,-97.74306,10,outside IN box,Brownstown Central vs Austin
meets_tf,124441,IN,34.65816,-88.5667,10,outside IN box,6th Grade County 
meets_tf,126547,IN,38.485123,-78.625015,10,outside IN box,Wes-Del vs Blue River at Shennandoah
meets_tf_meta,138162,WA,-31.94947,115.782295,10,outside WA box,WA Athletics Stadium
meets_tf_meta,72498,NV,38.907173,-78.20751,10,outside NV box,Skyline HS
meets_tfrrs,46405,MD,38.210217,0.0,10,outside MD box,University of Maryland
meets_tfrrs,46482,AR,27.92004,-82.785545,10,outside AR box,", AR"
meets,30913,OR,43.547028,-72.97152,9,outside OR box,Mill River Union High School
meets_tf,125464,OR,37.09024,-95.71289,9,outside OR box,Meet of Champions
meets_tf_meta,65814,UT,36.07259,-79.77337,9,outside UT box,North Carolina A&T University
meets_tfrrs,1798,MI,37.50335,-122.30899,9,outside MI box,Fremont
meets,4969,WA,37.096527,-113.56841,8,outside WA box,St. George
meets,40478,MI,41.591442,-86.71968,8,outside MI box,Kesling Park
meets,,MI,47.60414,-122.1987,8,outside MI box,Bellevue HS
meets_tf,65802,OH,36.068928,-79.810196,8,outside OH box,USATF Junior Olympics
meets_tf,69197,NE,37.80341,-122.21755,8,outside NE box,Oakland Craig Invite
meets_tf,97912,NE,44.94422,-93.18994,8,outside NE box,Brady Seasonal Records
meets_tf,103632,CA,50.798374,8.753821,8,outside CA box,Thorpe Cup (Day 2)
meets_tf,110500,IN,40.7042,-74.28355,8,outside IN box,Union Invite
meets_tf,123144,MA,31.791702,-7.09262,8,outside MA box,coaches invite
meets_tf_meta,82532,IN,41.11859,-83.18447,8,outside IN box,Tiffin University
meets_tf_meta,138176,OH,40.005424,0.0,8,outside OH box,French Field House
meets_tf_meta,122440,IN,-27.124819,153.36714,8,outside IN box,Cowan
meets_tf_meta,90812,CT,42.66636,-72.485176,8,outside CT box,Northfield Mount Hermon School
meets,21737,KS,38.758083,-93.73837,7,outside KS box,Warrensburg
meets,23736,TX,16.375422,-86.46546,7,outside TX box,Rotan Golf Course 
meets_tf,73043,IL,39.01512,-95.74989,7,outside IL box,Tiger F/S Invitational
meets_tf,96846,IN,44.503414,-85.17196,7,outside IN box,Rochester @ Pioneer
meets_tf,109511,IN,36.969433,-78.19063,7,outside IN box,Lowell Middle School vs. Kankakee Valley MS
meets_tf,110811,PA,41.627453,-71.005806,7,outside PA box,Cedar Cliff vs Cumberland Valley
meets_tf,124309,IN,34.238125,-118.53012,7,outside IN box,Meet
meets_tf,125430,PA,37.09024,-95.71289,7,outside PA box,"NBC, McBurg, SHC"
meets_tf,125440,TX,37.09024,-95.71289,7,outside TX box,Metroplex MS TF Series #5
meets_tf,128678,AZ,40.143105,47.576927,7,outside AZ box,2009 Mountain T's Invitational
meets_tf,130877,IN,41.57366,-84.005226,7,outside IN box,Delaware County Meet
meets_tf_meta,141448,PA,39.86875,0.0,7,outside PA box,Garnet Valley Middle School
meets_tf_meta,94581,OR,43.602695,-116.20146,7,outside OR box,Boise State University
meets_tf_meta,140936,PA,40.489826,0.0,7,outside PA box,Mansion Park
meets,10716,KY,43.245735,-77.399765,6,outside KY box,Webster golf course
meets,12225,AR,36.624897,-92.134605,6,outside AR box,Cloud 9 ranch
meets,13305,MT,-15.606506,-56.08251,6,outside MT box,TBD
meets,18255,TX,29.993258,-90.09818,6,outside TX box,City Park
meets,24446,NJ,41.892212,-79.83852,6,outside NJ box,Union City HS
meets,26304,WA,37.09024,-95.71289,6,outside WA box,Shuffle Beach
meets,30513,WI,41.96486,-87.63613,6,outside WI box,Montrose Beach
meets,30951,WI,36.21501,-86.61295,6,outside WI box,Hermitage
meets,32131,WI,42.03207,-92.925995,6,outside WI box,American Legion Golf Course
meets,32728,DE,38.907192,-77.03687,6,outside DE box,Anywhere
meets,34542,PA,40.567272,-89.61381,6,outside PA box,Parkview Golf Course
meets,38480,OK,42.035408,-88.28257,6,outside OK box,City of Elgin Soccer Fields
meets,45056,IA,-34.07128,18.835003,6,outside IA box,The Links
meets,,MI,37.09024,-95.71289,6,outside MI box,Unknown: send forum at michigancrosscountry.com
meets,,OH,30.54324,-87.2356,6,outside OH box,Scenic Hills Course
meets,,OR,41.187675,-85.08981,6,outside OR box,Steeple Chase
meets,,WA,37.096527,-113.56841,6,outside WA box,St. George
meets_tf,67568,OR,37.171886,-93.24774,6,outside OR box,non-Indoor
meets_tf,71788,OR,38.736904,-86.4797,6,outside OR box,Mitchell Intra-squad Field Event Frolic
meets_tf,103601,OR,50.18516,-119.10515,6,outside OR box,BC Trials #1
meets_tf,110225,MA,39.952377,-75.1636,6,outside MA box,Penn Relays
meets_tf,125396,OR,37.09024,-95.71289,6,outside OR box,Foot Traffic / Portland Parks Youth Meet
meets_tf,125409,CA,37.09024,-95.71289,6,outside CA box,El Segundo vs. Harvard Dual Meet
meets_tf,125471,TX,37.09024,-95.71289,6,outside TX box,Bulldog Relays
meets_tf_meta,52014,HI,-36.7987,145.15033,6,outside HI box,TBA
meets_tf_meta,95355,CA,43.86209,-79.381165,6,outside CA box,Ontario HS
meets_tf_meta,141811,MS,30.552631,0.0,6,outside MS box,St. Patrick Catholic High School
meets_tf_meta,102106,PA,47.52825,-122.099686,6,outside PA box,Cougar Mountain
meets_tf_meta,138213,VA,37.060043,0.0,6,outside VA box,Boo Williams Sportsplex
meets_tf_meta,63165,NE,34.58184,-94.22119,6,outside NE box,Bearcat Stadium
meets_tf_meta,122468,IN,20.593683,78.96288,6,outside IN box,
meets_tf_meta,123147,MA,31.791702,-7.09262,6,outside MA box,?
meets_tf_meta,89038,PA,42.33513,-71.166466,6,outside PA box,Alumni Stadium
meets_tfrrs,1796,AR,44.885315,-93.74302,6,outside AR box,Crown College
meets_tfrrs,38405,NY,39.990326,-75.21266,6,outside NY box,Hamilton College Cross-Country Course
meets_tf,59630,CA,33.47767,-112.14922,5,outside CA box,Rock ‘n’ Roll Arizona 
meets_tf,61543,MA,33.993176,-6.820305,5,outside MA box,Needham
meets_tf_meta,122483,OR,25.064074,72.424706,5,outside OR box,LHS
meets_tf_meta,66476,IN,36.418247,-89.04341,5,outside IN box,Union City HS
meets_tf_meta,122439,AR,-38.416096,-63.616673,5,outside AR box,
meets_tf_meta,141187,NE,41.684925,0.0,5,outside NE box,Boone Central track
meets_tf_meta,63164,IN,34.580578,-92.58205,5,outside IN box,Fairfield
meets_tf_meta,141229,PA,40.21339,0.0,5,outside PA box,George School
meets_tf_meta,53195,NC,28.385233,-81.56387,5,outside NC box,disney complex
meets_tf_meta,81555,MD,40.885666,-75.15146,5,outside MD box,Bangor Memorial Park
meets,957,IA,37.86641,-87.05767,4,outside IA box,Rockport Country Club
meets,1593,KS,38.485165,-89.130905,4,outside KS box,Centralia Golf course
meets,1865,HI,35.66723,51.434795,4,outside HI box,TBA
meets,8562,UT,42.866367,-73.7981,4,outside UT box,Turkey Trot
meets,10571,NV,39.19471,-120.12041,4,outside NV box,North Tahoe Middle School
meets,13648,MO,39.465034,-87.45002,4,outside MO box,Lavern Gibson CC COurse
meets,14440,GA,35.257233,-80.82429,4,outside GA box,Druid Hills
meets,25166,OR,34.091488,-118.283585,4,outside OR box,TBD
meets,30400,NE,42.834785,-76.97668,4,outside NE box,Geneva Country Club
meets,31356,NE,42.075108,-71.366455,4,outside NE box,Franklin Country Club
meets,32132,WI,42.03207,-92.925995,4,outside WI box,American Legion Golf Course
meets,32133,WI,42.03207,-92.925995,4,outside WI box,American Legion Golf Course
meets,37056,MT,47.860382,-103.97003,4,outside MT box,Sundheim Park
meets,37905,OH,37.98834,-81.15086,4,outside OH box,John P. Duda Stadium
meets,38782,MI,36.994205,-94.5941,4,outside MI box,Eagle Creek Golf Course
meets,40374,WA,38.669365,-87.184105,4,outside WA box,Gwaltney Sports Complex
meets,,CO,64.751114,-147.34944,4,outside CO box,North Pole
meets,,IL,37.09024,-95.71289,4,outside IL box,TBA
meets,,IN,37.09024,-95.71289,4,outside IN box,Site To Be Determined
meets,,KS,38.485165,-89.130905,4,outside KS box,Centralia Golf course
meets,,MN,43.317146,-91.80755,4,outside MN box,Luther College
meets,,MT,41.905346,-88.34259,4,outside MT box,Prairie county Fairgrounds 
meets,,NM,37.266304,-107.01001,4,outside NM box,Pagosa Colorado
meets,,NV,36.6337,-121.93126,4,outside NV box,Pacific Grove
meets,,NV,37.09024,-95.71289,4,outside NV box,Unknown
meets,,NV,39.19471,-120.12041,4,outside NV box,North Tahoe Middle School
meets,,NV,39.32796,-120.18325,4,outside NV box,Truckee Tri Meet
meets,,OR,33.8853,-117.34182,4,outside OR box,Woodcrest Christian School
meets,,OR,34.091488,-118.283585,4,outside OR box,TBD
meets,,OR,37.49134,-122.22471,4,outside OR box,Footlocker West Regional
meets,,WA,47.95316,-116.58644,4,outside WA box,Farragut State Park
meets,,WV,39.7293,-94.240555,4,outside WV box,Cameron HS
meets_tf,54183,MS,29.826033,-95.4243,4,outside MS box,Junior Olympics Association Championships
meets_tf,70836,KS,38.48125,-94.34464,4,outside KS box,ARCHIE
meets_tf,74346,CA,39.325653,-76.70522,4,outside CA box,USATF Junior Olympic Nationals
meets_tf,77240,MA,40.011143,-105.12712,4,outside MA box,Class C Champs
meets_tf,77714,NY,40.09404,-76.354706,4,outside NY box,Rock N' Roll Throw-Off
meets_tf,78930,NE,40.35519,-94.8898,4,outside NE box,NW Missouri Meet
meets_tf,95132,CA,43.778744,11.279792,4,outside CA box,MULTISTARS 2017 (Day 2)
meets_tf,103769,CA,55.825844,-4.2520475,4,outside CA box,Commonwealth Games (Day 3)
meets_tf,136747,MS,47.037872,-122.900696,4,outside MS box,Rancho Olympia Pole Vault Meet
meets_tf,142000,CA,33.99458,0.0,4,outside CA box,Time Trial
meets_tf_meta,140571,MO,38.656452,0.0,4,outside MO box,Gay Field
meets_tf_meta,125409,CA,37.09024,-95.71289,4,outside CA box,Unknown
meets_tf_meta,138318,MS,32.77558,0.0,4,outside MS box,Velma Jackson High School
meets_tf_meta,141173,NC,36.002644,0.0,4,outside NC box,High Point Athletic Complex
meets_tf_meta,139744,IL,41.46854,0.0,4,outside IL box,Minooka Community High School District 111
meets_tf_meta,57796,IN,32.760994,-105.20619,4,outside IN box,NM
meets_tf_meta,141228,PA,41.1776,0.0,4,outside PA box,East Stroudburg North High School
meets_tf_meta,142494,PA,40.58432,0.0,4,outside PA box,Rauch Field House
meets_tf_meta,141062,PA,41.005398,0.0,4,outside PA box,East Stroudsburg South Senior High School
meets_tf_meta,141106,IA,41.84029,0.0,4,outside IA box,1200 18th St
meets_tf_meta,52038,NE,2.7763832,-77.6672,4,outside NE box,TBD
meets_tf_meta,87509,OH,42.090946,-71.26434,4,outside OH box,Patriot Stadium
meets_tf_meta,140778,NC,35.185627,0.0,4,outside NC box,Pinecrest High School
meets_tf_meta,59504,OR,33.440063,-117.61686,4,outside OR box,San Clemente HS
meets_tf_meta,109881,IN,38.718716,-90.6429,4,outside IN box,Greensburg
meets_tf_meta,141063,PA,40.984238,0.0,4,outside PA box,Stroudsburg High School
meets_tf_meta,140583,MO,38.97616,0.0,4,outside MO box,Troy Buchanan High School
meets_tf_meta,71598,IN,38.683857,-88.35141,4,outside IN box,Clay City HS
meets_tf_meta,123145,MA,31.791702,-7.09262,4,outside MA box,Ma
meets_tf_meta,132723,IN,42.633423,-71.31617,4,outside IN box,Lowell MS
meets_tfrrs,44622,PA,41.146393,0.0,4,outside PA box,West Branch Cross Country Course
meets_tfrrs,45070,IL,41.934193,0.0,4,outside IL box,NIU North 40 Cross Country Course
meets_tfrrs,44386,NC,35.67097,0.0,4,outside NC box,Salisbury Community Park
meets_tfrrs,46205,IL,40.5121,0.0,4,outside IL box,Weibring Golf Course
meets,28942,VT,41.921104,-71.53795,3,outside VT box,Bryant College
meets,,IN,42.465134,-70.9437,3,outside IN box,Lynn Community Park
meets,,KS,38.758083,-93.73837,3,outside KS box,Warrensburg
meets,,NV,39.345238,-120.177284,3,outside NV box,Alder Creek Middle School
meets_tf,52115,FL,19.301764,-81.36052,3,outside FL box,Carifta Games
meets_tf,54016,IA,29.729795,-95.51125,3,outside IA box,AAU Jr Olympics
meets_tf,72033,OR,38.80163,-77.07045,3,outside OR box,NSAF Test
meets_tf,102287,OR,47.609066,-122.33017,3,outside OR box,USATF Regional Championships
meets_tf,130346,OH,41.203323,-77.19453,3,outside OH box,Penn Relays
meets_tf,130347,CA,41.203323,-77.19453,3,outside CA box,Hoover - Bonita Vista (practice meet)
meets_tf,137534,CA,52.128067,-103.377686,3,outside CA box,Mariposa Inv.
meets_tf_meta,79813,IN,40.555428,-84.55776,3,outside IN box,Celina HS
meets_tf_meta,78943,WI,40.358875,-74.6561,3,outside WI box,Princeton HS
meets_tf_meta,103729,IN,53.072636,8.793819,3,outside IN box,Bremen HS
meets_tf_meta,141194,IA,41.587776,0.0,3,outside IA box,3650 Woodland Ave
meets_tf_meta,141122,IA,41.04257,0.0,3,outside IA box,800 N Jackson St
meets_tf_meta,64190,MO,35.22583,-80.85284,3,outside MO box,Panther Stadium
meets_tf_meta,102202,Ne,47.569965,-52.73489,3,outside NE box,MUN Field House
meets_tf_meta,140551,IL,41.44962,0.0,3,outside IL box,Minooka Central Community High School
meets_tf_meta,125503,IN,37.09024,-95.71289,3,outside IN box,Leo HS
meets_tf_meta,103769,CA,55.825844,-4.2520475,3,outside CA box,Hampden Park
meets_tf_meta,122444,CA,9.943866,-84.0795,3,outside CA box,Santa Teresa
meets_tf_meta,141341,PA,40.06192,0.0,3,outside PA box,Springside Chestnut Hill Academy
meets_tf_meta,67313,MD,37.020027,-76.35508,3,outside MD box,Joseph S. Darling Memorial Stadium
meets_tf_meta,80422,IN,40.684025,-84.651695,3,outside IN box,"Parkway, Ohio HS"
meets_tf_meta,109555,IN,37.28549,-76.76166,3,outside IN box,Southport
meets_tf_meta,111123,PA,42.335117,-71.16646,3,outside PA box,Alumni Stadium
meets_tf_meta,141197,IA,41.59833,0.0,3,outside IA box,8325 N E University Ave
meets_tf_meta,110458,IN,40.57406,-93.422295,3,outside IN box,away
meets_tf_meta,92185,OR,42.956734,-112.411224,3,outside OR box,Idaho
meets_tf_meta,141483,IA,40.717033,0.0,3,outside IA box,1001 E Columbus St
meets_tf_meta,63320,GA,34.713863,-86.58352,3,outside GA box,Huntsville HS
meets_tf_meta,82256,MA,41.056274,-73.76573,3,outside MA box,White Plains
meets_tf_meta,122441,CA,-17.819342,23.953646,3,outside CA box,NA
meets_tf_meta,141159,IA,41.688583,0.0,3,outside IA box,1205 W 6th St S #1201
meets_tfrrs,46257,IL,41.95222,0.0,3,outside IL box,Sydney R. Marovitz Golf Course
meets,3447,ID,38.768574,-85.381645,2,outside ID box,City Golf Course
meets,3731,NV,39.32796,-120.18325,2,outside NV box,Truckee Tri Meet
meets,24652,SC,44.80933,-91.5041,2,outside SC box,Eau Claire
meets,24765,OH,39.082527,-94.339195,2,outside OH box,Blur River CC
meets,27826,AZ,33.61947,-117.89108,2,outside AZ box,Newport Back Bay
meets,27921,WI,35.01084,-93.27293,2,outside WI box,Two Rivers High School
meets,28492,WI,42.306507,-89.14965,2,outside WI box,ANNA PAGE PARK -- Park Shelter
meets,28611,TN,33.75696,-118.35396,2,outside TN box,Westmore Property (Rolling Hills)
meets,29847,ND,45.092285,-93.12384,2,outside ND box,Chippewa Middle School
meets,29848,ND,44.992165,-93.19607,2,outside ND box,Les Bolstad Golf COurse
meets,41450,IA,37.941822,-96.75158,2,outside IA box,Interstate 35 HS
meets,43081,MD,37.645035,-77.308846,2,outside MD box,Pole Green Park
meets,,HI,35.66723,51.434795,2,outside HI box,TBA
meets,,IA,37.86641,-87.05767,2,outside IA box,Rockport Country Club
meets,,IN,2.7763832,-77.6672,2,outside IN box,tbd
meets,,NE,32.243484,-110.94747,2,outside NE box,Districts
meets,,NE,45.02783,-93.0069,2,outside NE box,"/,mn"
meets,,NV,40.701252,-74.28725,2,outside NV box,Wells
meets_tf,52628,IN,26.45975,80.35986,2,outside IN box,Best Indoor Season Marks
meets_tf,54269,CA,29.922058,-90.07508,2,outside CA box,New Orleans Rock & Roll Marathon & Half Marathon
meets_tf,54436,MD,30.028595,-90.06604,2,outside MD box,AAU National Junior Olympic Games
meets_tf,68064,CA,37.37549,-5.9820795,2,outside CA box,7th IAAF World Champs in Athletics
meets_tf,74678,WA,39.414314,-77.54448,2,outside WA box,Practice meet
meets_tf,109257,IN,34.894337,-116.62792,2,outside IN box,Bedford vs Seymour
meets_tf,110326,AZ,40.233967,-111.66465,2,outside AZ box,Stat
meets_tf,111750,CA,44.372353,-79.6726,2,outside CA box,Great Oak All-Comers
meets_tf,118314,WI,41.87045,-87.66749,2,outside WI box,UCTC - Ted Haydon Classic
meets_tf,123146,MA,31.791702,-7.09262,2,outside MA box,Coaches Invite
meets_tf,135948,CA,45.523064,-122.67648,2,outside CA box,Portland Rock n Roll Half Marathon
meets_tf,144577,MD,40.400444,-3.5624914,2,outside MD box,Indoor High Jump
meets_tf_meta,69336,NE,37.871044,-122.25077,2,outside NE box,Memorial Stadium
meets_tf_meta,136747,MS,47.037872,-122.900696,2,outside MS box,Rancho Olympia
meets_tf_meta,110526,PA,40.76371,-73.986145,2,outside PA box,CHA
meets_tf_meta,124311,IN,34.238125,-118.53012,2,outside IN box,Northridge
meets_tf_meta,53303,NY,28.64789,180.0,2,outside NY box,Croton-Harmon HS
meets_tf_meta,142458,NY,44.692554,0.0,2,outside NY box,SUNY Plattsburgh
meets_tf_meta,127761,IN,39.45977,-91.03513,2,outside IN box,pike 
meets_tf_meta,78955,FL,40.36384,-111.92178,2,outside FL box,Westlake HS
meets_tf_meta,143859,TN,13.085566,80.27173,2,outside TN box,Jawaharlal Nehru Stadium
meets_tf_meta,66981,IA,36.81441,-119.75807,2,outside IA box,Bulldog Stadium
meets_tf_meta,134870,CA,44.261715,-80.93204,2,outside CA box,Crawford
meets_tf_meta,136183,WI,45.873196,-112.035576,2,outside WI box,Whitehall HS
meets_tf_meta,141568,NE,41.684925,0.0,2,outside NE box,Boone Central track
meets_tf_meta,108756,IN,32.811703,-97.40861,2,outside IN box,Tipton
meets_tf_meta,142702,IL,41.866287,0.0,2,outside IL box,Glenbard East High School
meets_tf_meta,65802,OH,36.068928,-79.810196,2,outside OH box,University of North Carolins A & T
meets_tf_meta,111898,IN,44.936275,-72.52073,2,outside IN box,Kokomo
meets_tf_meta,53118,TX,28.18792,-81.152466,2,outside TX box,Harmony HS
meets_tf_meta,52559,GA,26.283392,-98.16283,2,outside GA box,Cat Memorial Stadium
meets_tf_meta,140577,MO,38.51544,0.0,2,outside MO box,Eureka High School
meets_tf_meta,95442,MA,43.90558,-69.823074,2,outside MA box,Hyde School of Maine
meets_tf_meta,103632,CA,50.798374,8.753821,2,outside CA box,Georg Gaßmann Stadion
meets_tf_meta,110832,IN,41.70138,-71.388016,2,outside IN box,Churubusco
meets_tf_meta,141583,IA,41.62823,0.0,2,outside IA box,13007 Douglas Pkwy
meets_tf_meta,63452,TN,34.81516,-92.354294,2,outside TN box,Central Arkansas Christian School
meets_tf_meta,62628,TX,34.219276,-92.009575,2,outside TX box,Pine Bluff HS
meets_tf_meta,69083,NM,37.765957,-111.58668,2,outside NM box,Escalante HS
meets_tf_meta,141515,IA,41.50458,0.0,2,outside IA box,3299 White Pole Rd
meets_tf_meta,137501,CA,50.097935,-104.722534,2,outside CA box,Wilcox
meets_tf_meta,59630,CA,33.47767,-112.14922,2,outside CA box,phoenix
meets_tf_meta,142742,CA,33.963215,0.0,2,outside CA box,200 Brookside Ave
meets_tf_meta,141231,PA,39.984886,0.0,2,outside PA box,"Language Building, 1101 City Ave"
meets_tf_meta,131424,VA,41.902916,12.453389,2,outside VA box,
meets_tf_meta,125413,MA,37.09024,-95.71289,2,outside MA box,PEMBROKE
meets_tf_meta,141078,PA,41.142708,0.0,2,outside PA box,Thomas Field House
meets_tf_meta,129750,IN,40.779545,-74.02375,2,outside IN box,Union City HS
meets_tf_meta,86807,WI,41.94991,-88.115234,2,outside WI box,Stratford HS Track
meets_tf_meta,62020,PA,34.08148,-118.149994,2,outside PA box,USC
meets_tf_meta,72413,KS,38.893066,-94.378654,2,outside KS box,Summit Christian Academy
meets_tf_meta,111844,OR,44.73132,-85.63528,2,outside OR box,TBA
